"index";"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"Touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price"
0;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";" Core i5 ";2.3;8;"SSD";128;0;"Intel";"MacOS";1;71379
1;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";" Core i5 ";1.8;8;"Flash Storage";128;0;"Intel";"MacOS";1;47896
2;"HP";"Notebook";15.6;1920;1080;0;"Intel";" Core i5 7200U ";2.5;8;"SSD";256;0;"Intel";"N/A";2;30636
3;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";" Core i7 ";2.7;16;"SSD";512;0;"AMD";"MacOS";2;135195
4;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";" Core i5 ";3.1;8;"SSD";256;0;"Intel";"MacOS";1;96096
5;"Acer";"Notebook";15.6;1366;768;0;"AMD";" A9-Series 9420 ";3.0;4;"HDD";500;0;"AMD";"Windows";2;21312
6;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";" Core i7 ";2.2;16;"Flash Storage";256;0;"Intel";"MacOS";2;114018
7;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";" Core i5 ";1.8;8;"Flash Storage";256;0;"Intel";"MacOS";1;61736
8;"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";" Core i7 8550U ";1.8;16;"SSD";512;0;"Nvidia";"Windows";1;79654
9;"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"Intel";"Windows";2;41026
10;"HP";"Notebook";15.6;1366;768;0;"Intel";" Core i5 7200U ";2.5;4;"HDD";500;0;"Intel";"N/A";2;20987
11;"HP";"Notebook";15.6;1920;1080;0;"Intel";" Core i3 6006U ";2.0;4;"HDD";500;0;"Intel";"N/A";2;18381
12;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";" Core i7 ";2.8;16;"SSD";256;0;"AMD";"MacOS";2;130002
13;"Dell";"Notebook";15.6;1920;1080;0;"Intel";" Core i3 6006U ";2.0;4;"SSD";256;0;"AMD";"Windows";2;26581
14;"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";" Core M m3 ";1.2;8;"SSD";256;0;"Intel";"MacOS";1;67261
15;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";" Core i5 ";2.3;8;"SSD";256;0;"Intel";"MacOS";1;80908
16;"Dell";"Notebook";15.6;1920;1080;0;"Intel";" Core i7 7500U ";2.7;8;"SSD";256;0;"AMD";"Windows";2;39694
17;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";" Core i7 ";2.9;16;"SSD";512;0;"AMD";"MacOS";2;152274
18;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";" Core i3 7100U ";2.4;8;"HDD";1024;0;"Nvidia";"N/A";2;26587
19;"Dell";"Ultrabook";13.3;1920;1080;1;"Intel";" Core i5 8250U ";1.6;8;"SSD";128;0;"Intel";"Windows";1;52161
21;"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";" Core i5 7300HQ ";2.5;8;"Hybrid";128;1024;"Nvidia";"Windows";2;53227
22;"HP";"Notebook";15.6;1366;768;0;"AMD";" E-Series E2-9000e ";1.5;4;"HDD";500;0;"AMD";"N/A";2;13746
23;"Dell";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"Intel";"Windows";2;43636
24;"HP";"Ultrabook";15.6;1920;1080;0;"Intel";" Core i7 8550U ";1.8;8;"SSD";256;0;"Intel";"Windows";2;35112
25;"Dell";"Notebook";15.6;1366;768;0;"Intel";" Core i3 6006U ";2.0;4;"HDD";1024;0;"Intel";"Windows";2;22305
26;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";" Core i5 ";1.6;8;"Flash Storage";128;0;"Intel";"MacOS";1;58555
27;"Dell";"Notebook";15.6;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"AMD";"Windows";2;42624
28;"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";" Core i7 8650U ";1.9;8;"SSD";256;256;"Intel";"Windows";2;69157
29;"HP";"Notebook";17.3;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"HDD";1024;0;"Nvidia";"Windows";2;47739
30;"Chuwi";"Notebook";15.6;1920;1080;0;"Intel";" Atom x5-Z8300 ";1.4;4;"Flash Storage";64;0;"Intel";"Windows";2;13053
31;"Asus";"Notebook";14.0;1366;768;0;"AMD";" E-Series E2-6110 ";1.5;2;"Flash Storage";32;0;"AMD";"Windows";2;10603
32;"HP";"Notebook";17.3;1920;1080;0;"AMD";" A6-Series 9220 ";2.5;4;"HDD";500;0;"AMD";"Windows";3;23390
33;"Dell";"Ultrabook";13.3;3200;1800;1;"Intel";" Core i7 8550U ";1.8;16;"SSD";512;0;"Intel";"Windows";1;99580
34;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";" Core i5 ";1.6;8;"Flash Storage";256;0;"Intel";"MacOS";1;53173
35;"Lenovo";"Notebook";14.0;1366;768;0;"Intel";" Celeron Dual Core N3350 ";1.1;4;"Flash Storage";64;0;"Intel";"Windows";1;13267
36;"Acer";"Notebook";15.6;1366;768;0;"Intel";" Core i3 7130U ";2.7;4;"HDD";1024;0;"Intel";"Linux";2;19554
37;"Dell";"Notebook";17.3;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"Hybrid";128;1024;"AMD";"Windows";3;52161
38;"HP";"Notebook";15.6;1366;768;0;"Intel";" Core i5 7200U ";2.5;4;"HDD";1024;0;"Intel";"Windows";2;26037
39;"HP";"Notebook";15.6;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"Nvidia";"Windows";2;46833
40;"Asus";"Notebook";15.6;1920;1080;0;"Intel";" Core i3 6006U ";2.0;4;"HDD";1024;0;"Intel";"Linux";2;20726
41;"Dell";"Gaming";15.6;1920;1080;0;"Intel";" Core i7 7700HQ ";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";3;79867
42;"Asus";"Notebook";15.6;1366;768;0;"Intel";" Core i5 7200U ";2.5;8;"HDD";1024;0;"Nvidia";"Linux";2;27865
43;"Acer";"Notebook";15.6;1920;1080;0;"Intel";" Core i5 8250U ";1.6;4;"SSD";256;0;"Intel";"Windows";2;36337
44;"Dell";"2 in 1 Convertible";17.3;1920;1080;1;"Intel";" Core i5 8250U ";1.6;12;"HDD";1024;0;"Nvidia";"Windows";3;53227
45;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";" Core i5 ";2.0;8;"SSD";256;0;"Intel";"MacOS";1;75604
47;"Asus";"Gaming";17.3;1920;1080;0;"AMD";" Ryzen 1700 ";3.0;8;"Hybrid";256;1024;"AMD";"Windows";3;69211
48;"Dell";"Notebook";15.6;1920;1080;0;"Intel";" Core i5 7200U ";2.5;4;"SSD";256;0;"AMD";"Windows";2;34046
49;"Asus";"Notebook";17.3;1366;768;0;"Intel";" Pentium Quad Core N4200 ";1.1;4;"HDD";1024;0;"Nvidia";"Windows";3;24828
51;"Acer";"Notebook";15.6;1920;1080;0;"Intel";" Core i7 8550U ";1.8;8;"SSD";256;0;"Nvidia";"Windows";2;44808
52;"HP";"Notebook";15.6;1920;1080;0;"AMD";" A6-Series 9220 ";2.5;4;"SSD";256;0;"AMD";"Windows";2;21232
53;"HP";"Notebook";13.3;1920;1080;0;"Intel";" Core i7 8550U ";1.8;8;"SSD";512;0;"Intel";"Windows";1;58768
54;"Acer";"Notebook";15.6;1366;768;0;"Intel";" Core i3 7100U ";2.4;4;"HDD";1024;0;"Intel";"Windows";2;20460
55;"Dell";"Notebook";15.6;1920;1080;0;"Intel";" Core i7 8550U ";1.8;8;"SSD";256;0;"AMD";"Windows";2;40908
56;"HP";"Notebook";15.6;1920;1080;0;"Intel";" Core i3 6006U ";2.0;4;"SSD";128;0;"Intel";"Windows";2;23390
57;"Asus";"Notebook";15.6;1366;768;0;"Intel";" Core i5 7200U ";2.5;4;"SSD";256;0;"Intel";"Windows";2;31232
58;"MSI";"Gaming";17.3;1920;1080;0;"Intel";" Core i7 7700HQ ";2.8;16;"Hybrid";256;2048;"Nvidia";"Windows";2;130483
59;"Asus";"Notebook";15.6;1920;1080;0;"Intel";" Core i3 6006U ";2.0;4;"SSD";256;0;"Intel";"Linux";2;22111
60;"Dell";"Notebook";17.3;1920;1080;0;"Intel";" Core i7 8550U ";1.8;16;"Hybrid";256;2048;"AMD";"Windows";3;69211
61;"Dell";"Ultrabook";14.0;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"Intel";"Windows";2;46833
62;"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";" Core i3 7130U ";2.7;8;"SSD";256;0;"Intel";"N/A";2;31915
63;"Asus";"Notebook";14.0;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"Intel";"Windows";1;50136
64;"HP";"Notebook";15.6;1920;1080;0;"Intel";" Core i5 7200U ";2.5;8;"SSD";256;0;"Intel";"Windows";2;36763
65;"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";" Core i7 7700HQ ";2.8;16;"SSD";512;0;"Nvidia";"Windows";2;105654
66;"HP";"Notebook";15.6;1366;768;0;"Intel";" Core i3 6006U ";2.0;4;"HDD";500;0;"AMD";"Windows";2;23373
67;"HP";"Notebook";14.0;1366;768;0;"Intel";" Celeron Dual Core N3060 ";1.6;4;"SSD";32;0;"Intel";"Windows";1;12201
68;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";" Core i5 7200U ";2.5;4;"HDD";1024;0;"Intel";"Windows";2;29251
69;"Asus";"Gaming";17.3;1920;1080;0;"Intel";" Core i7 7700HQ ";2.8;12;"HDD";1024;0;"Nvidia";"Linux";3;50563
70;"Microsoft";"Ultrabook";13.5;2256;1504;1;"Intel";" Core i5 7200U ";2.5;4;"SSD";128;0;"Intel";"Windows";1;58022
71;"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";" Core i7 8550U ";1.8;64;"SSD";256;0;"AMD";"Windows";1;50882
72;"Dell";"Notebook";15.6;1920;1080;0;"Intel";" Core i7 8550U ";1.8;8;"SSD";256;0;"AMD";"Windows";2;46354
73;"MSI";"Gaming";17.3;1920;1080;0;"Intel";" Core i5 7300HQ ";2.5;8;"Hybrid";128;1024;"Nvidia";"Windows";3;58342
74;"Acer";"Notebook";14.0;1366;768;0;"Intel";" Core i3 6006U ";2.0;8;"HDD";1024;0;"Intel";"Windows";2;20726
75;"Asus";"Gaming";15.6;1920;1080;0;"Intel";" Core i7 7700HQ ";2.8;8;"HDD";1024;0;"Nvidia";"Windows";2;50563
76;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";" Core i5 7200U ";2.5;8;"HDD";2048;0;"Intel";"N/A";2;27652
77;"Dell";"Notebook";15.6;1920;1080;0;"Intel";" Core i7 8550U ";1.8;8;"Hybrid";128;1024;"Intel";"Windows";2;45554
78;"Acer";"Notebook";15.6;1920;1080;0;"Intel";" Core i3 7130U ";2.7;4;"HDD";1024;0;"Nvidia";"Windows";2;28238
79;"HP";"Notebook";17.3;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"Hybrid";128;1024;"Nvidia";"Windows";2;52055
80;"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"Intel";"Windows";2;58403
81;"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";" Core i5 ";1.3;8;"SSD";512;0;"Intel";"MacOS";1;80453
82;"HP";"Notebook";14.0;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"Intel";"Windows";2;45821
83;"Lenovo";"Notebook";15.6;1920;1080;0;"AMD";" A6-Series 9220 ";2.5;4;"SSD";128;0;"AMD";"Windows";2;21259
84;"Acer";"Notebook";15.6;1366;768;0;"AMD";" A9-Series 9420 ";3.0;4;"HDD";1024;0;"AMD";"Windows";2;21046
85;"Dell";"Gaming";15.6;1920;1080;0;"Intel";" Core i7 7700HQ ";2.8;16;"Hybrid";128;1024;"Nvidia";"Windows";3;71875
